ID,Algal.Mat.Coverage,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,Depositional.Type,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,Macrophyte.Coverage,NO2_mgL,NO3_mgL,NPOC_mg.L.asC,Number.Days.Since.Precip,Precipitation.Within.Week,Primary.Sources.Flow.Variation,resprate_mg.L.h,Sediment_Bedrock,Stream_Order,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,altS,MAT,MAP,cluster
SED_S19S.0037_D_Field,3,13.43,1,-7.24,-42.3,4,0.05,1,2,1,2,0.04,18.17,16.06,3,1,18,2.37,3,2,1,15.9,1195,12.6,812,sed_2
SED_S19S.0037_U_Field,3,13.43,1,-7.24,-42.3,4,0.05,1,2,1,2,0.04,18.17,21.11,3,1,18,4.55,3,2,1,29,2691,4.6,612,sed_0
SED_S19S.0038_D_Field,3,12.44,1,-7.35,-43.5,4,0.04,8,2,1,1,0.04,18.18,17,3,1,18,2.24,3,2,4,9.4,2691,4.6,612,sed_2
SED_S19S.0038_M_Field,3,12.44,1,-7.35,-43.5,8,0.04,8,2,1,1,0.04,18.18,8.56,3,1,18,1.12,3,2,4,27,2691,4.6,612,sed_2
SED_S19S.0038_U_Field,3,12.44,1,-7.35,-43.5,1,0.04,8,2,1,1,0.04,18.18,10.02,3,1,18,3.3,3,2,4,7.1,1334,16.9,478,sed_2
SED_S19S.0039_D_Field,3,9.67,1,-3.8,-18.6,4,0.16,6,1,1,1,0.11,7.82,16.43,1,1,18,41.85,3,3,3,7,1334,16.9,478,sed_2
SED_S19S.0039_M_Field,3,9.67,1,-3.8,-18.6,4,0.16,6,1,1,1,0.11,7.82,12.78,1,1,18,3.7,3,3,2,7.6,1334,16.9,478,sed_2
SED_S19S.0039_U_Field,3,9.67,1,-3.8,-18.6,4,0.16,6,1,1,1,0.11,7.82,12.11,1,1,18,32.74,3,3,2,20,112,12,184,sed_2
SED_S19S.0040_M_Field,2,1.58,1,1,1,6,0.34,2,1,3,1,0.04,0.12,18.92,3,1,18,20.8,3,1,1,3,112,12,184,sed_0
SED_S19S.0040_U_Field,3,1.58,1,1,1,8,0.34,2,1,3,1,0.04,0.12,24.52,3,1,18,1,3,1,1,10,112,12,184,sed_2
SED_S19S.0041_D_Field,3,2.72,3,-15.21,-116.3,1,0.11,6,3,1,2,0.04,0.12,9.88,2,1,3,1.5,1,6,1,24,101,11.5,1127,sed_2
SED_S19S.0041_M_Field,3,2.72,3,-15.21,-116.3,1,0.11,6,3,1,2,0.04,0.12,18.17,2,1,3,28.35,1,6,3,10,101,11.5,1127,sed_0
SED_S19S.0041_U_Field,3,2.72,3,-15.21,-116.3,1,0.11,6,3,1,2,0.04,0.12,11.62,2,1,3,15.66,1,6,3,18,101,11.5,1127,sed_2
SED_S19S.0042_D_Field,3,1719.1,3,0.72,8.3,1,0.02,7,3,1,2,0.04,0.54,31.73,1,1,7,6.27,2,1,2,54,110,11.4,1131,sed_2
SED_S19S.0042_M_Field,3,1719.1,3,0.72,8.3,1,0.02,7,3,1,2,0.04,0.54,22,1,1,7,9.88,2,1,2,65,110,11.4,1131,sed_0
SED_S19S.0042_U_Field,3,1719.1,3,0.72,8.3,1,0.02,7,3,1,2,0.04,0.54,22,1,1,7,16.44,2,1,2,55,110,11.4,1131,sed_2
SED_S19S.0043_D_Field,3,35.22,1,-8.45,-55,1,0.1,2,1,1,3,0.04,50.69,21.79,0,2,18,6.92,2,3,1,20,239,14,1348,sed_0
SED_S19S.0043_M_Field,3,35.22,1,-8.45,-55,1,0.1,2,1,1,3,0.04,50.69,9.84,0,2,18,10.08,2,3,1,30,239,14,1348,sed_2
SED_S19S.0043_U_Field,3,35.22,1,-8.45,-55,1,0.1,2,1,1,3,0.04,50.69,8.22,0,2,18,1,2,3,1,45,239,14,1348,sed_2
SED_S19S.0044_D_Field,3,7.5,1,-3.68,-20.9,3,0.05,11,1,1,1,0.04,0.4,24.32,1,1,7,1,2,3,1,37,370,12.1,865,sed_2
SED_S19S.0044_M_Field,3,7.5,1,-3.68,-20.9,3,0.05,11,1,1,1,0.04,0.4,17.05,1,1,7,1,2,3,1,22,370,12.1,865,sed_2
SED_S19S.0044_U_Field,3,7.5,1,-3.68,-20.9,3,0.05,11,1,1,1,0.04,0.4,21.03,1,1,7,1,2,3,1,24,871,8.5,246,sed_2
SED_S19S.0045_M_Field,3,96.69,1,-8.12,-58.8,4,0.12,6,2,1,2,0.29,32.71,17.34,3,1,8,1,1,0,3,4,871,8.5,246,sed_1
SED_S19S.0046_D_Field,3,1,1,1,1,1,1,17,3,3,1,1,1,2.7,3,1,17,1,1,0,1,10,871,8.5,246,sed_0
SED_S19S.0047_D_Field,3,0.16,1,-17.38,-134.8,1,0.05,9,1,1,1,0.04,0.12,26.9,0,1,18,11.03,3,0,1,52,5,23.7,1291,sed_0
SED_S19S.0049_D_Field,3,6.64,1,-3.23,-12.3,1,0.06,1,2,1,2,0.04,0.66,5.51,0,1,18,1,3,0,3,24,5,23.7,1291,sed_0
SED_S19S.0049_M_Field,3,6.64,1,-3.23,-12.3,1,0.06,1,2,1,2,0.04,0.66,14.92,0,1,18,1,3,0,1,11,5,23.7,1291,sed_0
SED_S19S.0049_U_Field,3,6.64,1,-3.23,-12.3,1,0.06,1,2,1,2,0.04,0.66,5.26,0,1,18,1,3,0,3,32,262,7.7,799,sed_2
SED_S19S.0050_D_Field,3,0.38,1,-18.68,-142.4,8,0.04,9,1,3,1,0.04,0.12,12.52,0,1,16,0.88,3,0,4,18,262,7.7,799,sed_0
SED_S19S.0050_M_Field,3,0.38,1,-18.68,-142.4,1,0.04,9,1,3,1,0.04,0.12,28.03,0,1,16,2.54,3,0,4,5,262,7.7,799,sed_0
