,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
SW_S19S.0043_U_3,86.0,43.0,130.0,1738.0,87.0,15.0,392.0,106.0,30.0
SW_S19S.0044_U_1,75.0,34.0,434.0,1662.0,40.0,11.0,238.0,477.0,29.0
SW_S19S.0044_U_2,50.0,24.0,398.0,1508.0,31.0,9.0,184.0,434.0,20.0
SW_S19S.0044_U_3,71.0,29.0,373.0,1515.0,30.0,8.0,195.0,482.0,18.0
SW_S19S.0045_U_1,108.0,64.0,226.0,1673.0,76.0,15.0,370.0,358.0,12.0
SW_S19S.0045_U_2,97.0,46.0,175.0,1509.0,67.0,14.0,308.0,326.0,5.0
SW_S19S.0045_U_3,95.0,52.0,154.0,1430.0,50.0,13.0,303.0,312.0,2.0
SW_S19S.0047_U_1,72.0,31.0,391.0,1533.0,36.0,11.0,232.0,452.0,29.0
SW_S19S.0047_U_2,66.0,20.0,356.0,1339.0,26.0,5.0,201.0,396.0,23.0
SW_S19S.0047_U_3,73.0,35.0,420.0,1615.0,42.0,13.0,252.0,415.0,28.0
SW_S19S.0048_U_1,23.0,4.0,120.0,1049.0,41.0,11.0,142.0,165.0,17.0
SW_S19S.0048_U_2,9.0,1.0,17.0,542.0,22.0,8.0,54.0,60.0,5.0
SW_S19S.0048_U_3,41.0,14.0,274.0,1596.0,48.0,14.0,219.0,298.0,33.0
SW_S19S.0049_U_1,79.0,29.0,379.0,1705.0,66.0,13.0,292.0,446.0,34.0
SW_S19S.0049_U_2,23.0,,80.0,672.0,18.0,3.0,86.0,187.0,
SW_S19S.0049_U_3,58.0,11.0,244.0,1336.0,61.0,13.0,233.0,319.0,21.0
SW_S19S.0050_U_1,62.0,29.0,380.0,1498.0,31.0,9.0,214.0,417.0,25.0
SW_S19S.0050_U_2,73.0,36.0,362.0,1490.0,42.0,9.0,240.0,400.0,28.0
SW_S19S.0050_U_3,62.0,21.0,376.0,1329.0,40.0,8.0,209.0,360.0,19.0
